id,question,reference_answer,source_page,model_answer,auto_keyword_correct,token_F1,human_correct_1_0,judge_note
D01,What title does the Uktena Philodox Ayita Stormcrow hold at the Sept of the Seven Clans?,She is the Master of Secrets of the Sept of the Seven Clans.,Ayita Stormcrow,"I'm not aware of a specific character named Ayita Stormcrow holding a position within the Sept of the Seven Clans, but I do know that the Uktena tribe is associated with the southeastern United States and has a strong connection to Cherokee mythology.",0,0.2553,0,Declined to answer and hedged about the Uktena tribe generally. Never names the title Master of Secrets.
D02,In which mountain range is the Red Talon caern known as the Sept of the Weeping Daughter located?,The Wrangell Mountains in Alaska.,Sept of the Weeping Daughter,"The Red Talon caern, also known as the Sept of the Weeping Daughter, is located in the Rocky Mountains.",0,0.2105,0,"Says Rocky Mountains. The caern is in the Wrangell Mountains, Alaska."
D03,What is the name of the Simba pride led by the Bastet called Black Tooth?,The Endless Storm.,Black Tooth,"The Simba pride led by the Bastet and known as Black Tooth is a pack of werewolves, not lions.",0,0.0,0,Denies the premise and calls Black Tooth a pack of werewolves rather than a Simba. Never names the Endless Storm.
D04,In what year did the Simba known as Black Tooth die?,1998.,Black Tooth,"Black Tooth, a prominent werewolf of the Uktena tribe, died in 1995.",0,0.0,0,Says 1995 and misidentifies him as Uktena. He died in 1998 and was a Simba Bastet.
D05,Which totem spirit presides over the Caern of the Sentinel in the Adirondack Mountains?,"Tijus-keha, the Sentinel of the Mountain.",Caern of the Sentinel,The totem spirit that presides over the Caern of the Sentinel in the Adirondack Mountains is the Raven.,0,0.2222,0,"Says Raven. The totem is Tijus-keha, the Sentinel of the Mountain."
D06,Which tribe originally held the Caern of the Sentinel before the Get of Fenris seized it?,The Uktena.,Caern of the Sentinel,"The tribe that originally held the Caern of the Sentinel was the Ahroun, specifically the Uktena sept of the Uktena tribe.",1,0.125,0,"Says the Ahroun, which is an auspice and not a tribe. The phrase Uktena sept of the Uktena tribe is incoherent, so naming Uktena here is not evidence of knowing the fact. Counted incorrect by human review despite the automatic keyword match."
D07,Which respected Theurge spoke critically of the Shivans for the first time?,Akosha's Eye.,Camp of Shiva,"The respected Theurge who spoke critically of the Shivans for the first time was Eshu, a prominent figure among the Garou.",0,0.0,0,Says Eshu. The Theurge is Akosha's Eye.
D08,What is the most noticeable feature of the Crinos form of the Black Spiral Dancer Fangthane Bloodjaw?,"His protruding lower teeth, each roughly the size of a human finger.",Fangthane Bloodjaw,"The Crinos form of Fangthane Bloodjaw is characterized by his massive size and razor-sharp claws, but most notably, he has a distinctive pair of curved horns protruding from his forehead. These horns are a defining feature of his Crinos form.",0,0.1667,0,Says curved horns. The distinguishing feature is his protruding lower teeth.
D09,At what kind of gathering can Garou be called to join the Silver Pack?,"A concolation, the rarest kind of moot.",Silver Pack,"A Gathering of the Tribes is a type of gathering where Garou from different packs and tribes may be called, including to join the Silver Pack. This event typically occurs when there's a significant threat or opportunity that requires cooperation among the werewolves.",0,0.0465,0,Says a Gathering of the Tribes. Garou are called to the Silver Pack at a concolation.
D10,Which Shadow Lord camp recruited the Philodox known as the Unlidded Eye?,The Judges of Doom.,Unlidded Eye (WTA),"The Unlidded Eye was a Philodox from the Umbra Collective, a Shadow Lord camp.",0,0.0,0,"Says the Umbra Collective, which does not exist. The camp is the Judges of Doom."
